"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	110	Not Applicable	Not Applicable
